,smile_ratio,times
0,1.849,2019-05-19 14:16:00.875172
1,2.043,2019-05-19 14:16:01.151094
2,1.811,2019-05-19 14:16:01.364361
3,1.824,2019-05-19 14:16:01.487128
4,1.875,2019-05-19 14:16:01.850963
5,1.851,2019-05-19 14:16:01.935665
6,1.818,2019-05-19 14:16:03.760529
7,2.02,2019-05-19 14:16:03.939867
8,2.08,2019-05-19 14:16:04.087708
9,1.889,2019-05-19 14:16:04.189697
10,1.868,2019-05-19 14:16:04.393839
11,1.925,2019-05-19 14:16:04.568617
12,1.943,2019-05-19 14:16:04.742971
13,2.039,2019-05-19 14:16:04.920127
14,1.962,2019-05-19 14:16:05.097735
15,2.143,2019-05-19 14:16:05.264590
16,2.104,2019-05-19 14:16:05.368708
17,1.923,2019-05-19 14:16:05.455590
18,1.811,2019-05-19 14:16:05.930288
19,1.833,2019-05-19 14:16:06.269127
20,1.827,2019-05-19 14:16:06.358107
21,1.98,2019-05-19 14:16:07.000568
22,1.923,2019-05-19 14:16:07.098545
23,1.961,2019-05-19 14:16:07.395213
24,2.191,2019-05-19 14:16:07.482977
25,2.059,2019-05-19 14:16:07.569949
26,2.019,2019-05-19 14:16:07.737796
27,1.926,2019-05-19 14:16:07.852457
28,2.0,2019-05-19 14:16:07.938221
29,2.0,2019-05-19 14:16:08.106124
30,2.038,2019-05-19 14:16:08.196647
31,2.058,2019-05-19 14:16:08.308001
32,1.944,2019-05-19 14:16:08.482549
33,2.038,2019-05-19 14:16:08.657818
34,1.909,2019-05-19 14:16:08.825457
35,1.909,2019-05-19 14:16:08.992967
36,1.963,2019-05-19 14:16:09.169943
37,1.962,2019-05-19 14:16:09.340886
38,1.873,2019-05-19 14:16:09.510062
39,1.891,2019-05-19 14:16:09.667024
40,1.944,2019-05-19 14:16:09.835662
41,1.962,2019-05-19 14:16:10.005772
42,1.818,2019-05-19 14:16:10.183335
43,1.943,2019-05-19 14:16:10.352693
44,1.962,2019-05-19 14:16:10.432837
45,1.925,2019-05-19 14:16:10.520257
46,1.907,2019-05-19 14:16:10.693151
47,2.019,2019-05-19 14:16:12.426985
48,1.891,2019-05-19 14:16:12.612206
49,2.292,2019-05-19 14:16:12.779913
50,2.019,2019-05-19 14:16:12.882571
51,4.619,2019-05-19 14:16:13.056964
52,1.891,2019-05-19 14:16:13.453084
53,1.852,2019-05-19 14:16:13.790220
54,1.923,2019-05-19 14:16:14.126824
55,2.0,2019-05-19 14:16:14.296515
56,1.873,2019-05-19 14:16:14.465343
57,2.306,2019-05-19 14:16:14.546136
58,1.946,2019-05-19 14:16:14.634314
59,1.842,2019-05-19 14:16:14.808769
60,1.825,2019-05-19 14:16:15.047270
61,1.909,2019-05-19 14:16:15.218329
62,1.982,2019-05-19 14:16:15.634106
63,1.982,2019-05-19 14:16:15.732327
64,2.071,2019-05-19 14:16:15.892439
65,2.148,2019-05-19 14:16:16.060252
66,1.932,2019-05-19 14:16:16.238235
67,1.983,2019-05-19 14:16:16.409440
68,2.2,2019-05-19 14:16:16.585297
69,2.109,2019-05-19 14:16:16.760303
70,2.107,2019-05-19 14:16:16.928758
71,2.017,2019-05-19 14:16:17.110216
72,2.0,2019-05-19 14:16:17.456196
73,2.017,2019-05-19 14:16:17.631833
74,2.69,2019-05-19 14:16:17.731668
75,1.871,2019-05-19 14:16:17.732323
76,2.105,2019-05-19 14:16:17.818521
77,2.164,2019-05-19 14:16:17.908550
78,3.391,2019-05-19 14:16:18.020303
79,2.035,2019-05-19 14:16:18.021491
80,3.292,2019-05-19 14:16:18.109740
81,2.017,2019-05-19 14:16:18.110400
82,2.053,2019-05-19 14:16:18.278975
83,2.089,2019-05-19 14:16:18.384771
84,1.931,2019-05-19 14:16:18.588873
85,2.02,2019-05-19 14:16:18.760846
86,2.25,2019-05-19 14:16:18.922111
87,1.979,2019-05-19 14:16:19.000108
88,1.939,2019-05-19 14:16:19.162675
89,1.83,2019-05-19 14:16:19.503031
90,2.205,2019-05-19 14:16:19.594809
91,2.143,2019-05-19 14:16:19.756821
92,1.894,2019-05-19 14:16:19.916432
